code_module,code_presentation,id_student,sum_click,date,studied_credits,num_of_prev_attempts,module_presentation_length,final_result
BBB,2014J,600428,847,70,60,1,262,Pass
BBB,2014B,363396,553,75,60,0,234,Distinction
CCC,2014B,266915,146,5,60,0,241,Withdrawn
FFF,2013J,575919,105,7,60,0,268,Fail
BBB,2013B,548831,10,1,60,0,240,Withdrawn
FFF,2013J,608421,7618,181,60,0,268,Distinction
FFF,2014B,596601,4021,94,180,1,241,Pass
FFF,2014J,531871,2118,53,60,0,269,Pass
GGG,2013J,576455,136,7,30,0,261,Fail
FFF,2014J,699128,2075,66,90,0,269,Pass
GGG,2014B,617889,81,10,30,0,241,Fail
CCC,2014J,258042,281,26,30,0,269,Withdrawn
GGG,2014J,2679821,275,13,30,0,269,Withdrawn
FFF,2014J,634088,3040,129,90,1,269,Distinction
FFF,2014J,475015,3119,142,60,1,269,Pass
BBB,2013B,519602,203,27,60,0,240,Pass
DDD,2014B,558629,1422,120,60,0,241,Fail
BBB,2014J,2449399,1027,38,60,0,262,Pass
EEE,2013J,591958,2542,127,60,0,268,Distinction
FFF,2013B,263697,497,18,60,0,240,Withdrawn
CCC,2014B,479753,324,15,60,0,241,Withdrawn
GGG,2014B,632514,546,40,30,0,241,Distinction
EEE,2014B,633107,1756,67,60,0,241,Pass
BBB,2014B,615025,399,44,60,0,234,Pass
FFF,2014B,617014,2394,74,120,0,241,Pass
DDD,2013J,505209,114,27,240,0,261,Withdrawn
CCC,2014B,557172,28,2,30,0,241,Fail
FFF,2014J,650861,270,10,60,0,269,Fail
BBB,2013B,445125,381,23,60,0,240,Fail
CCC,2014B,523271,110,6,30,0,241,Withdrawn
FFF,2013B,556911,653,24,120,0,240,Withdrawn
AAA,2013J,386952,910,114,120,0,268,Pass
DDD,2013J,477120,947,65,60,0,261,Pass
FFF,2013B,395010,109,8,150,2,240,Withdrawn
BBB,2014J,632632,739,70,60,1,262,Pass
AAA,2013J,2649826,5974,211,60,0,268,Distinction
FFF,2014B,628720,2194,63,60,0,241,Pass
AAA,2013J,401869,955,90,60,0,268,Pass
FFF,2013J,560727,5772,124,120,0,268,Pass
CCC,2014J,588100,773,75,60,0,269,Pass
BBB,2013B,523596,357,19,75,0,240,Fail
GGG,2014J,694723,982,76,30,0,269,Distinction
FFF,2013J,540503,2356,88,60,0,268,Pass
FFF,2014B,571962,5278,142,120,1,241,Pass
DDD,2014B,1531649,755,42,60,0,241,Withdrawn
AAA,2013J,398552,1183,87,240,0,268,Fail
BBB,2013J,580497,76,6,60,0,268,Withdrawn
CCC,2014J,693147,164,3,120,0,269,Withdrawn
FFF,2013J,599570,235,27,60,0,268,Fail
DDD,2014B,563631,44,7,90,0,241,Fail
FFF,2013J,581574,3160,105,60,0,268,Pass
BBB,2014J,700079,1853,91,120,0,262,Distinction
BBB,2013B,550163,77,7,60,0,240,Fail
EEE,2013J,478435,582,30,30,0,268,Fail
DDD,2013J,573689,1548,121,60,0,261,Pass
GGG,2013J,575136,550,28,30,0,261,Fail
BBB,2014B,396456,696,77,60,0,234,Distinction
FFF,2014J,609142,6016,169,60,0,269,Distinction
DDD,2013J,594419,517,67,90,0,261,Pass
CCC,2014B,246248,4,1,60,0,241,Fail
DDD,2014J,147328,2457,149,60,0,262,Pass
CCC,2014J,578026,1376,54,60,0,269,Withdrawn
DDD,2014B,615438,323,18,60,0,241,Withdrawn
DDD,2014B,618845,1422,147,60,0,241,Pass
BBB,2014J,573131,663,32,60,0,262,Fail
BBB,2014B,598694,586,68,120,0,234,Pass
BBB,2013B,228049,14,1,60,0,240,Withdrawn
DDD,2013J,561476,970,74,60,0,261,Pass
AAA,2014J,409703,2808,145,120,0,269,Pass
FFF,2014J,2529052,323,17,90,0,269,Fail
CCC,2014B,201327,1137,45,30,0,241,Fail
GGG,2014J,686267,533,34,30,0,269,Pass
FFF,2014J,677400,4064,139,60,0,269,Distinction
FFF,2013J,564770,711,26,150,0,268,Withdrawn
EEE,2013J,384797,1599,106,60,0,268,Pass
EEE,2014B,625950,43,4,60,0,241,Withdrawn
DDD,2014J,2517387,369,39,120,0,262,Withdrawn
DDD,2013J,442878,564,77,120,0,261,Fail
DDD,2013J,522312,984,98,90,0,261,Pass
CCC,2014B,575703,199,14,60,0,241,Withdrawn
BBB,2013B,531634,284,12,120,0,240,Fail
GGG,2013J,303165,1378,58,30,0,261,Pass
CCC,2014J,620159,234,23,30,0,269,Fail
GGG,2013J,1993905,2274,156,30,0,261,Pass
DDD,2014J,2226202,1528,129,180,0,262,Pass
FFF,2013J,2374002,8447,151,60,0,268,Distinction
BBB,2013J,336646,75,11,120,0,268,Fail
FFF,2013J,573280,643,27,60,0,268,Fail
FFF,2013J,503684,119,10,60,0,268,Fail
DDD,2014J,282498,1,1,60,0,262,Withdrawn
EEE,2014J,674296,85,5,30,0,269,Withdrawn
CCC,2014B,634217,1648,63,60,0,241,Distinction
FFF,2014B,629096,3559,121,60,0,241,Pass
FFF,2013J,2692632,606,24,120,0,268,Withdrawn
BBB,2014B,628379,707,56,60,0,234,Fail
CCC,2014J,652894,1996,25,60,0,269,Fail
EEE,2014J,233685,4439,178,60,0,269,Pass
BBB,2013B,550923,279,32,120,0,240,Pass
DDD,2013J,276857,1369,102,60,0,261,Pass
CCC,2014B,553021,3162,124,60,0,241,Distinction
GGG,2013J,2387566,321,10,30,0,261,Fail
BBB,2013B,435245,1490,130,60,0,240,Pass
BBB,2013J,599434,245,39,60,0,268,Fail
FFF,2013J,586011,71,6,60,0,268,Withdrawn
FFF,2013J,506288,188,9,120,0,268,Withdrawn
FFF,2013B,524984,16,1,120,0,240,Withdrawn
CCC,2014J,698598,390,43,120,0,269,Withdrawn
FFF,2014J,687345,562,52,90,0,269,Fail
FFF,2013J,521255,765,37,120,0,268,Withdrawn
BBB,2014B,621894,519,30,60,0,234,Pass
FFF,2014B,632306,4120,155,60,0,241,Distinction
DDD,2014J,647218,364,36,60,0,262,Fail
BBB,2014J,652390,265,9,60,0,262,Pass
GGG,2013J,511571,1322,67,30,0,261,Pass
FFF,2014J,682025,295,22,240,0,269,Withdrawn
FFF,2013J,566823,925,36,60,0,268,Withdrawn
BBB,2014B,557029,133,19,130,0,234,Fail
DDD,2014B,228272,1893,114,60,0,241,Pass
DDD,2013J,191445,944,80,60,0,261,Fail
FFF,2014J,693160,2080,58,60,0,269,Pass
FFF,2014J,1514245,357,35,90,1,269,Withdrawn
CCC,2014J,696515,468,32,120,0,269,Pass
CCC,2014B,155067,75,14,45,0,241,Fail
BBB,2014B,505151,182,30,120,0,234,Withdrawn
CCC,2014J,574259,492,41,30,0,269,Pass
DDD,2014J,606757,1279,101,60,0,262,Pass
FFF,2014J,537321,9,2,60,0,269,Withdrawn
FFF,2014B,525874,397,16,180,1,241,Fail
FFF,2013B,232764,911,33,150,1,240,Withdrawn
FFF,2013J,596739,901,42,60,0,268,Withdrawn
BBB,2013B,2322046,245,22,60,1,240,Withdrawn
GGG,2014B,631277,358,12,30,0,241,Pass
DDD,2014J,692426,1200,75,60,0,262,Fail
FFF,2014J,695700,697,49,150,0,269,Fail
CCC,2014B,575745,2015,104,130,0,241,Pass
FFF,2014B,338958,1192,31,60,0,241,Fail
CCC,2014J,679207,10,2,90,0,269,Withdrawn
DDD,2014J,585773,4162,172,60,0,262,Pass
FFF,2014B,624772,485,9,60,0,241,Withdrawn
FFF,2014J,648725,401,8,120,0,269,Withdrawn
DDD,2013J,1522631,3374,205,90,0,261,Fail
BBB,2013B,548255,1875,86,60,0,240,Distinction
EEE,2014J,627312,991,78,60,1,269,Pass
DDD,2014B,614649,67,11,60,0,241,Fail
BBB,2013B,466800,208,21,60,1,240,Withdrawn
DDD,2013B,512404,133,16,180,0,240,Withdrawn
CCC,2014J,549769,1483,48,110,0,269,Withdrawn
DDD,2013J,561807,3002,118,60,0,261,Distinction
DDD,2013J,446448,274,27,60,0,261,Withdrawn
FFF,2013B,490195,4683,153,60,0,240,Pass
FFF,2014J,607243,8859,238,60,0,269,Pass
GGG,2013J,586083,266,13,30,0,261,Fail
BBB,2014J,653944,29,6,120,0,262,Pass
BBB,2013J,264744,334,36,120,0,268,Pass
DDD,2013J,572730,749,83,120,0,261,Pass
DDD,2014B,614074,3924,173,70,0,241,Pass
CCC,2014B,633250,4896,164,60,0,241,Pass
DDD,2014B,610609,3,2,120,0,241,Withdrawn
BBB,2013J,169213,332,51,60,1,268,Pass
CCC,2014J,2268049,273,16,30,0,269,Withdrawn
DDD,2014J,525068,475,68,60,0,262,Distinction
BBB,2014B,618784,22,5,60,0,234,Withdrawn
FFF,2013J,521788,210,21,90,1,268,Fail
CCC,2014J,447644,966,55,90,0,269,Distinction
BBB,2013B,555414,747,77,60,0,240,Pass
BBB,2013B,2569163,661,79,120,0,240,Distinction
DDD,2014J,649261,630,52,90,0,262,Withdrawn
FFF,2013J,571650,3281,177,120,0,268,Pass
BBB,2014J,603055,312,27,60,0,262,Pass
DDD,2014B,397429,162,17,60,0,241,Fail
BBB,2014B,232539,672,56,60,0,234,Distinction
DDD,2013B,502736,132,16,120,1,240,Fail
BBB,2013J,592441,581,39,120,0,268,Pass
FFF,2013J,605598,5099,155,120,0,268,Pass
BBB,2013J,569334,85,6,120,0,268,Fail
FFF,2014J,2107747,1592,43,60,0,269,Withdrawn
DDD,2013J,558140,261,39,60,0,261,Fail
BBB,2014J,682375,26,2,120,0,262,Withdrawn
FFF,2014J,648576,1,1,60,0,269,Withdrawn
GGG,2013J,584509,2174,139,30,0,261,Distinction
FFF,2013B,376109,2054,63,60,1,240,Fail
DDD,2013J,566553,253,11,90,0,261,Withdrawn
FFF,2013J,537133,787,50,60,1,268,Fail
BBB,2014J,569589,3310,125,60,0,262,Pass
GGG,2014B,632966,106,15,30,0,241,Withdrawn
BBB,2014B,60416,4983,215,60,1,234,Pass
BBB,2013B,555102,140,20,60,0,240,Pass
DDD,2013J,124006,734,41,70,1,261,Pass
EEE,2013J,586979,446,26,60,0,268,Fail
CCC,2014B,342957,560,39,60,0,241,Fail
FFF,2014B,391114,6118,184,60,0,241,Pass
GGG,2013J,607754,1049,45,30,0,261,Pass
GGG,2014B,1994632,662,48,30,0,241,Pass
BBB,2014J,649025,1416,87,60,0,262,Pass
BBB,2014J,692215,1973,98,120,0,262,Distinction
BBB,2013J,415546,223,25,60,0,268,Fail
BBB,2014B,430002,50,4,60,0,234,Fail
DDD,2014B,474451,576,67,60,1,241,Fail
FFF,2014B,634435,2204,64,60,0,241,Pass
BBB,2013B,92274,447,26,60,0,240,Withdrawn
EEE,2014B,1861830,2601,124,70,1,241,Pass
FFF,2013J,601808,2439,68,60,0,268,Pass
DDD,2013B,525066,1977,124,90,0,240,Fail
EEE,2014J,628766,1356,98,60,0,269,Pass
EEE,2013J,573547,4,1,90,0,268,Withdrawn
DDD,2013J,333155,3,2,120,0,261,Fail
DDD,2014B,634824,833,74,60,0,241,Pass
BBB,2014B,117699,473,57,120,0,234,Distinction
FFF,2013B,1510285,4607,135,60,0,240,Pass
FFF,2014B,613593,1144,43,60,0,241,Fail
GGG,2014B,628367,194,6,30,0,241,Pass
BBB,2013J,508759,2569,169,120,0,268,Withdrawn
EEE,2014B,474628,1371,102,30,0,241,Pass
FFF,2013J,594933,163,6,120,0,268,Withdrawn
FFF,2013J,603220,213,21,120,0,268,Fail
EEE,2013J,572021,199,7,60,0,268,Fail
EEE,2014J,284095,1893,122,120,0,269,Distinction
BBB,2014J,684098,208,8,60,0,262,Fail
EEE,2014J,655498,1990,111,120,0,269,Distinction
BBB,2013J,287679,1293,66,60,0,268,Pass
CCC,2014J,678194,1318,67,60,0,269,Fail
CCC,2014J,655051,650,26,150,0,269,Pass
BBB,2014B,439710,631,94,120,0,234,Distinction
GGG,2014J,402596,97,14,60,0,269,Withdrawn
EEE,2013J,588628,3121,115,60,0,268,Distinction
FFF,2014J,679509,2313,67,60,0,269,Pass
DDD,2014J,552114,852,87,120,1,262,Fail
DDD,2014J,134920,236,25,60,0,262,Fail
GGG,2014J,648498,486,30,30,0,269,Distinction
FFF,2014B,614730,871,35,60,0,241,Withdrawn
FFF,2013B,134260,1157,56,90,0,240,Pass
DDD,2014J,2046628,171,6,120,3,262,Withdrawn
DDD,2014B,631240,761,91,60,0,241,Withdrawn
BBB,2013J,606697,799,87,60,0,268,Pass
BBB,2013J,605009,672,67,60,0,268,Pass
EEE,2014B,2492827,980,93,60,0,241,Pass
FFF,2014B,488758,134,10,60,1,241,Fail
FFF,2013B,529644,2547,157,120,1,240,Pass
AAA,2013J,227499,2953,162,60,0,268,Distinction
FFF,2014J,228633,2457,133,110,0,269,Pass
EEE,2014B,592593,563,27,150,0,241,Pass
CCC,2014B,2577091,262,15,30,0,241,Withdrawn
BBB,2013J,577256,341,37,120,0,268,Pass
DDD,2013B,383701,495,34,120,1,240,Fail
DDD,2013J,595396,600,61,120,0,261,Withdrawn
FFF,2013J,586642,2178,87,120,0,268,Pass
CCC,2014J,631860,688,26,60,0,269,Withdrawn
EEE,2014B,594193,228,6,60,0,241,Fail
BBB,2013B,521081,39,2,90,0,240,Fail
AAA,2014J,447481,767,33,60,0,269,Pass
EEE,2013J,600916,1445,61,30,0,268,Fail
BBB,2014J,505871,494,29,60,1,262,Fail
CCC,2014J,597365,9495,267,60,0,269,Pass
FFF,2014B,438796,3598,125,120,0,241,Pass
EEE,2014J,2258124,1079,47,30,0,269,Distinction
BBB,2014J,444545,897,33,60,0,262,Pass
BBB,2014B,1957682,584,73,60,0,234,Distinction
FFF,2014J,688664,440,21,60,0,269,Withdrawn
EEE,2014B,601043,2332,129,30,0,241,Pass
CCC,2014J,697567,3952,178,90,0,269,Distinction
DDD,2013J,274712,86,10,60,2,261,Fail
BBB,2014B,625295,17,2,60,0,234,Fail
EEE,2014J,2627992,6112,223,60,0,269,Pass
CCC,2014J,616658,1658,145,30,0,269,Pass
DDD,2014J,644516,84,15,120,0,262,Withdrawn
BBB,2013J,420163,747,64,120,0,268,Pass
FFF,2013J,488324,237,16,120,0,268,Fail
CCC,2014J,472616,8,3,150,0,269,Withdrawn
FFF,2013B,537980,7640,244,60,0,240,Pass
DDD,2014J,334581,653,71,90,0,262,Distinction
CCC,2014J,520854,16,1,120,0,269,Withdrawn
EEE,2014J,592951,17,2,120,0,269,Withdrawn
BBB,2014B,626966,552,50,60,0,234,Distinction
DDD,2014J,470914,527,60,150,0,262,Pass
BBB,2013B,551274,6,1,60,0,240,Pass
DDD,2013J,315730,1753,88,60,0,261,Pass
DDD,2013B,548797,281,15,60,0,240,Withdrawn
FFF,2014J,482644,3235,133,60,0,269,Pass
CCC,2014B,59541,441,10,30,0,241,Withdrawn
BBB,2013B,527343,30,6,120,1,240,Withdrawn
CCC,2014J,633511,2145,99,30,0,269,Pass
GGG,2014B,607762,211,13,30,0,241,Distinction
BBB,2014J,695144,173,19,60,0,262,Pass
CCC,2014B,632459,1322,66,60,0,241,Pass
FFF,2014J,601180,29,5,60,1,269,Fail
BBB,2013J,603627,268,24,120,0,268,Distinction
CCC,2014J,1850818,108,6,30,0,269,Withdrawn
DDD,2013J,2409396,11,3,90,0,261,Withdrawn
DDD,2013B,546830,1304,97,60,0,240,Fail
DDD,2014B,348439,171,12,60,0,241,Withdrawn
FFF,2013J,148328,1576,57,90,0,268,Withdrawn
EEE,2013J,1762336,1171,41,90,0,268,Fail
CCC,2014B,1753458,4057,102,60,0,241,Distinction
BBB,2014J,644793,2394,103,60,0,262,Distinction
BBB,2013B,554482,6,2,60,0,240,Withdrawn
FFF,2013B,80745,1015,44,60,1,240,Pass
EEE,2014J,684617,39,5,60,0,269,Fail
GGG,2014B,625544,141,19,30,0,241,Distinction
EEE,2014J,641881,277,20,60,0,269,Fail
DDD,2013J,598665,2320,88,60,0,261,Distinction
FFF,2013B,520857,1550,36,120,1,240,Fail
EEE,2014J,554459,564,44,60,1,269,Pass
DDD,2014B,630009,223,10,60,0,241,Withdrawn
CCC,2014J,645334,3105,114,60,0,269,Distinction
DDD,2014J,339853,913,82,120,0,262,Fail
FFF,2013B,1813486,862,21,60,1,240,Fail
AAA,2013J,1801229,1443,86,60,0,268,Pass
BBB,2013B,554608,1227,109,120,0,240,Pass
BBB,2014J,692609,3807,144,60,0,262,Distinction
FFF,2014B,585454,3872,109,240,1,241,Distinction
AAA,2013J,2278464,307,33,60,0,268,Pass
FFF,2013B,556783,12143,229,60,0,240,Distinction
FFF,2014J,2424257,3822,161,60,0,269,Fail
BBB,2013J,583007,1,1,60,0,268,Fail
DDD,2014J,192375,1528,115,120,0,262,Pass
FFF,2014J,682578,781,37,120,0,269,Fail
FFF,2013B,557811,3385,67,90,0,240,Pass
EEE,2014B,589001,3,1,60,0,241,Withdrawn
AAA,2013J,70464,1053,46,60,0,268,Pass
EEE,2014J,298148,741,43,80,0,269,Pass
BBB,2014J,590854,1258,80,120,0,262,Distinction
EEE,2013J,581123,859,64,150,0,268,Pass
FFF,2014J,641265,45,4,240,0,269,Withdrawn
CCC,2014B,515774,992,71,60,0,241,Pass
DDD,2014B,2357168,361,10,120,0,241,Withdrawn
DDD,2014B,490164,38,5,120,1,241,Fail
DDD,2013J,2627449,1201,100,120,0,261,Pass
AAA,2014J,350156,560,48,120,0,269,Pass
CCC,2014J,651187,9,2,150,0,269,Withdrawn
BBB,2014J,696844,356,21,120,0,262,Pass
CCC,2014J,269388,1024,45,90,0,269,Fail
BBB,2014J,515349,1419,57,120,0,262,Distinction
GGG,2014J,681065,845,68,30,0,269,Distinction
FFF,2013J,593585,1530,83,90,0,268,Pass
FFF,2013B,87152,2253,109,60,0,240,Pass
FFF,2013B,443563,5409,129,120,1,240,Pass
GGG,2014B,618767,598,23,30,0,241,Pass
BBB,2013J,592147,957,111,60,0,268,Pass
FFF,2013B,530445,3325,147,60,0,240,Distinction
CCC,2014B,594157,4299,141,60,0,241,Pass
BBB,2013B,444784,281,24,120,0,240,Fail
GGG,2014J,637621,1619,101,30,0,269,Pass
BBB,2013J,555061,60,12,90,0,268,Fail
CCC,2014B,600945,1671,91,60,0,241,Pass
AAA,2014J,295060,1097,126,60,0,269,Fail
BBB,2013J,487681,970,94,60,0,268,Pass
FFF,2013J,609537,4609,139,60,0,268,Distinction
FFF,2013B,1936679,5151,192,60,0,240,Pass
DDD,2014B,588059,111,3,90,0,241,Withdrawn
FFF,2014J,652824,99,9,60,0,269,Fail
DDD,2014J,588058,219,21,180,0,262,Withdrawn
GGG,2014B,628598,474,35,60,0,241,Pass
DDD,2014J,691444,496,87,120,0,262,Fail
BBB,2013B,1912438,1477,68,60,0,240,Pass
EEE,2013J,595990,237,2,30,0,268,Withdrawn
FFF,2013J,595164,1536,73,120,0,268,Pass
GGG,2013J,600277,315,26,30,0,261,Pass
FFF,2014J,613634,3671,132,60,0,269,Pass
BBB,2013B,535807,339,30,120,0,240,Fail
DDD,2014J,586444,638,54,60,0,262,Withdrawn
CCC,2014J,634200,981,96,60,0,269,Pass
FFF,2013B,548969,623,40,90,0,240,Withdrawn
BBB,2014B,1866742,402,39,120,1,234,Distinction
FFF,2013B,546780,1165,81,60,0,240,Fail
FFF,2013J,554470,4382,141,90,0,268,Pass
BBB,2014J,651027,327,18,60,0,262,Pass
DDD,2013J,441342,2139,120,60,0,261,Pass
DDD,2014B,616166,10,4,60,0,241,Withdrawn
CCC,2014B,577236,1586,100,60,0,241,Distinction
FFF,2013J,598308,508,28,120,0,268,Withdrawn
GGG,2013J,583730,810,44,60,0,261,Fail
EEE,2013J,611405,326,9,60,0,268,Withdrawn
EEE,2013J,487588,4358,155,30,0,268,Distinction
EEE,2013J,500779,1420,45,30,0,268,Pass
AAA,2013J,202635,1418,47,60,0,268,Withdrawn
CCC,2014J,600535,2582,141,30,0,269,Fail
GGG,2013J,565993,382,23,30,0,261,Pass
BBB,2014B,632605,38,5,120,0,234,Withdrawn
FFF,2014J,651478,9176,191,90,0,269,Distinction
GGG,2014J,694729,985,36,30,0,269,Pass
FFF,2014J,569080,5033,153,90,0,269,Pass
FFF,2013J,606712,2040,64,60,0,268,Pass
BBB,2013J,589471,271,32,90,0,268,Withdrawn
CCC,2014B,625453,852,76,30,0,241,Pass
FFF,2013B,536038,2029,62,120,0,240,Withdrawn
FFF,2013J,1417707,5922,183,60,1,268,Pass
EEE,2014B,446077,757,65,30,0,241,Fail
GGG,2014J,648522,615,40,30,0,269,Pass
CCC,2014B,493988,358,17,60,0,241,Withdrawn
DDD,2013B,76536,18,7,120,1,240,Fail
DDD,2014B,609681,62,9,180,1,241,Withdrawn
BBB,2013B,551702,269,36,60,0,240,Withdrawn
BBB,2014B,625390,363,26,60,0,234,Pass
CCC,2014B,471018,163,6,60,0,241,Withdrawn
FFF,2013J,486948,498,18,60,1,268,Fail
DDD,2013J,586762,2261,168,60,0,261,Pass
BBB,2014B,2221869,528,55,150,0,234,Fail
GGG,2013J,608693,325,20,30,0,261,Fail
DDD,2014J,647937,905,125,120,0,262,Pass
CCC,2014J,626463,253,25,120,0,269,Pass
GGG,2013J,601319,233,19,30,0,261,Pass
FFF,2014J,649207,4343,170,60,0,269,Pass
FFF,2014B,193803,211,8,180,2,241,Withdrawn
EEE,2014B,70537,2434,119,120,0,241,Pass
GGG,2014J,682001,1061,74,30,0,269,Pass
FFF,2013J,610266,1366,77,90,0,268,Pass
BBB,2014J,179073,156,14,60,1,262,Withdrawn
GGG,2013J,575454,76,10,30,0,261,Fail
AAA,2013J,141377,143,9,345,0,268,Withdrawn
CCC,2014J,620782,77,6,150,0,269,Withdrawn
DDD,2013B,550371,283,14,60,0,240,Fail
BBB,2013B,2418877,582,45,60,1,240,Withdrawn
BBB,2013B,377846,4736,206,150,0,240,Pass
BBB,2014B,617134,426,24,60,0,234,Withdrawn
BBB,2014J,678144,132,6,60,0,262,Fail
BBB,2014J,508431,15,1,60,0,262,Withdrawn
CCC,2014J,694361,4,1,90,0,269,Withdrawn
DDD,2013B,553253,61,5,60,0,240,Withdrawn
DDD,2014J,686038,1210,126,60,0,262,Pass
EEE,2014J,656929,315,22,210,0,269,Fail
BBB,2013J,600211,1,1,120,0,268,Fail
GGG,2014J,651954,39,3,90,0,269,Fail
EEE,2014B,548992,163,35,60,1,241,Fail
CCC,2014J,605868,6141,158,30,0,269,Distinction
GGG,2013J,1470552,249,21,30,0,261,Fail
DDD,2013J,2404530,106,7,70,0,261,Fail
DDD,2014B,75309,1,1,120,0,241,Withdrawn
BBB,2013B,541973,336,33,60,0,240,Fail
CCC,2014J,607812,3823,165,60,0,269,Pass
BBB,2013B,518879,1798,116,60,0,240,Pass
CCC,2014J,357820,41,3,120,0,269,Withdrawn
CCC,2014J,624927,816,50,60,0,269,Distinction
DDD,2013J,128656,386,16,60,0,261,Pass
BBB,2014J,571868,43,5,120,1,262,Withdrawn
BBB,2013J,174440,196,17,60,0,268,Fail
FFF,2013B,531397,252,6,60,0,240,Fail
DDD,2014J,675253,97,12,60,0,262,Withdrawn
DDD,2013J,363990,90,11,60,2,261,Fail
DDD,2014J,487607,423,36,60,0,262,Fail
GGG,2014J,691371,2090,124,30,0,269,Pass
EEE,2013J,435277,7866,224,90,0,268,Distinction
GGG,2013J,585114,655,54,30,0,261,Pass
CCC,2014J,683220,181,12,180,0,269,Withdrawn
FFF,2013B,519540,302,8,60,0,240,Fail
BBB,2013J,369986,185,27,120,2,268,Pass
DDD,2014B,598102,3842,164,60,0,241,Pass
AAA,2013J,290201,1740,108,60,0,268,Pass
BBB,2013J,590305,39,1,60,0,268,Withdrawn
FFF,2013B,327650,5283,149,60,0,240,Pass
BBB,2013J,151800,85,9,60,0,268,Fail
FFF,2013J,1492571,5248,116,60,0,268,Pass
CCC,2014J,638426,275,10,280,0,269,Withdrawn
DDD,2013J,560948,976,60,60,0,261,Fail
FFF,2014J,559882,356,8,120,0,269,Withdrawn
CCC,2014B,193163,872,34,90,0,241,Fail
EEE,2014J,2355274,2184,73,30,0,269,Pass
BBB,2014B,632084,684,66,60,0,234,Distinction
FFF,2014J,683628,13,1,60,0,269,Withdrawn
CCC,2014B,1942999,424,24,90,0,241,Withdrawn
DDD,2013J,510864,662,89,120,0,261,Pass
GGG,2013J,411105,518,39,30,0,261,Pass
FFF,2013J,558909,57,7,90,1,268,Withdrawn
BBB,2013B,1413989,189,16,60,2,240,Withdrawn
CCC,2014J,683373,1389,73,90,0,269,Distinction
FFF,2013J,591394,5431,165,90,0,268,Pass
BBB,2014J,1419671,113,4,60,0,262,Fail
FFF,2013B,2628246,8,1,60,0,240,Withdrawn
CCC,2014J,264845,811,61,30,0,269,Fail
DDD,2013J,261495,2229,173,90,0,261,Withdrawn
BBB,2014J,684055,1588,100,60,0,262,Pass
FFF,2014B,565373,3497,85,120,1,241,Pass
DDD,2014J,1173473,2547,199,60,0,262,Pass
